"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"mck_name_carkey","Vehicle Key","Vehicle Key","Vehicle Key","Autoschlüssel","Ключи от машины","Kluczyk","Vehicle Key","Vehicle Key","Vehicle Key","Vehicle Key","Vehicle Key","Vehicle Key","Vehicle Key","Vehicle Key",
"mck_description_carkey","Key which can be assigned to a vehicle. You can duplicate this key at a grinder.","Key which can be assigned to a vehicle. You can duplicate this key at a grinder.","Key which can be assigned to a vehicle. You can duplicate this key at a grinder.","Ein Schlüssel, der einem Auto zugeordnet werden kann. Du kannst diesen Schlüssel bei einem Grinder nachmachen lassen.","Ключ, который можно присвоить автомобилю. Вы можете дублировать этот ключ на точильном станке.","Kluczyk który można przypisać do pojazdu. Można powielić używając szlifierki.","Key which can be assigned to a vehicle. You can duplicate this key at a grinder.","Key which can be assigned to a vehicle. You can duplicate this key at a grinder.","Key which can be assigned to a vehicle. You can duplicate this key at a grinder.","Key which can be assigned to a vehicle. You can duplicate this key at a grinder.","Key which can be assigned to a vehicle. You can duplicate this key at a grinder.","Key which can be assigned to a vehicle. You can duplicate this key at a grinder.","Key which can be assigned to a vehicle. You can duplicate this key at a grinder.","Key which can be assigned to a vehicle. You can duplicate this key at a grinder.",
"mck_name_carkeytag","Vehicle Key Tag","Vehicle Key Tag","Vehicle Key Tag","Autoschlüsselanhänger","Брелок","Zawieszka do kluczyka","Vehicle Key Tag","Vehicle Key Tag","Vehicle Key Tag","Vehicle Key Tag","Vehicle Key Tag","Vehicle Key Tag","Vehicle Key Tag","Vehicle Key Tag",
"mck_description_carkeytag","This tag can be attached to a vehicle key","This tag can be attached to a vehicle key","This tag can be attached to a vehicle key","Dieser Anhänger kann an einem Autoschlüssel befestigt werden","Брелок можно прикрепить к ключу от машины.","Ta zawieszka może być przyczepiona do kluczyka","This tag can be attached to a vehicle key","This tag can be attached to a vehicle key","This tag can be attached to a vehicle key","This tag can be attached to a vehicle key","This tag can be attached to a vehicle key","This tag can be attached to a vehicle key","This tag can be attached to a vehicle key","This tag can be attached to a vehicle key",
"mck_name_masterkey","Master Vehicle Key","Master Vehicle Key","Master Vehicle Key","Generalschlüssel (Auto)","Мастер ключ","Kluczyk uniwersalny","Master Vehicle Key","Master Vehicle Key","Master Vehicle Key","Master Vehicle Key","Master Vehicle Key","Master Vehicle Key","Master Vehicle Key","Master Vehicle Key",
"mck_description_masterkey","Only admins should have this. Locks and unlocks any vehicle.","Only admins should have this. Locks and unlocks any vehicle.","Only admins should have this. Locks and unlocks any vehicle.","Nur Admins sollten dies haben. Kann jedes Auto verschließen und öffnen","Только для Администраторов. Запирает и открывает любую машину.","Tylko admin powinien to mieć. Zamyka i otwiera każdy pojazd.","Only admins should have this. Locks and unlocks any vehicle.","Only admins should have this. Locks and unlocks any vehicle.","Only admins should have this. Locks and unlocks any vehicle.","Only admins should have this. Locks and unlocks any vehicle.","Only admins should have this. Locks and unlocks any vehicle.","Only admins should have this. Locks and unlocks any vehicle.","Only admins should have this. Locks and unlocks any vehicle.","Only admins should have this. Locks and unlocks any vehicle.",
"mck_name_resetkey","Reset Vehicle Key","Reset Vehicle Key","Reset Vehicle Key","Schlüssel um Autos zurückzusetzen","Ключ для Сброса","Kluczyk Resetujący","Reset Vehicle Key","Reset Vehicle Key","Reset Vehicle Key","Reset Vehicle Key","Reset Vehicle Key","Reset Vehicle Key","Reset Vehicle Key","Reset Vehicle Key",
"mck_description_resetkey","Only admins should have this. Resets the assigned key id of the vehicle.","Only admins should have this. Resets the assigned key id of the vehicle.","Only admins should have this. Resets the assigned key id of the vehicle.","Nur Admins sollten dies haben. Setzt die IDs von Autos zurück","Только для Администраторов. Сбрасывает идентификаторы автомобилей.","Only admins should have this. Resets the assigned key id of the vehicle.","Only admins should have this. Resets the assigned key id of the vehicle.","Only admins should have this. Resets the assigned key id of the vehicle.","Only admins should have this. Resets the assigned key id of the vehicle.","Only admins should have this. Resets the assigned key id of the vehicle.","Only admins should have this. Resets the assigned key id of the vehicle.","Only admins should have this. Resets the assigned key id of the vehicle.","Only admins should have this. Resets the assigned key id of the vehicle.","Only admins should have this. Resets the assigned key id of the vehicle.",
"mck_name_infokey","Info Vehicle Key","Info Vehicle Key","Info Vehicle Key","Schlüssel für Auto-Infos","Ключ для Идентификации","Info-Kluczyk","Info Vehicle Key","Info Vehicle Key","Info Vehicle Key","Info Vehicle Key","Info Vehicle Key","Info Vehicle Key","Info Vehicle Key","Info Vehicle Key",
"mck_description_infokey","Only admins should have this. Gets IDs of the vehicle.","Only admins should have this. Gets IDs of the vehicle.","Only admins should have this. Gets IDs of the vehicle.","Nur Admins sollten dies haben. Bekomme die IDs von Fahrzeugen","Только для Администраторов. Получает информацию об  автомобиле.","Tylko admin powinien to mieć. Sprawdza ID pojazdów.","Only admins should have this. Gets IDs of the vehicle.","Only admins should have this. Gets IDs of the vehicle.","Only admins should have this. Gets IDs of the vehicle.","Only admins should have this. Gets IDs of the vehicle.","Only admins should have this. Gets IDs of the vehicle.","Only admins should have this. Gets IDs of the vehicle.","Only admins should have this. Gets IDs of the vehicle.","Only admins should have this. Gets IDs of the vehicle.",
"mck_action_assign","Assign new key","Assign new key","Assign new key","Neuen Schlüssel zuweisen","Назначить новый ключ","Przypisz nowy kluczyk","Assign new key","Assign new key","Assign new key","Assign new key","Assign new key","Assign new key","Assign new key","Assign new key",
"mck_action_craft","Craft vehicle key","Craft vehicle key","Craft vehicle key","Autoschlüssel herstellen","Создать ключ от машины","Stwórz kluczyk","Craft vehicle key","Craft vehicle key","Craft vehicle key","Craft vehicle key","Craft vehicle key","Craft vehicle key","Craft vehicle key","Craft vehicle key",
"mck_action_duplicate","Duplicate key","Duplicate key","Duplicate key","Schlüssel nachmachen","Создать дубликат ключа","Powiel kluczyk","Duplicate key","Duplicate key","Duplicate key","Duplicate key","Duplicate key","Duplicate key","Duplicate key","Duplicate key",
"mck_action_getinfo","Get Info","Get Info","Get Info","Infos bekommen","Получить данные","Zdobądź info","Get Info","Get Info","Get Info","Get Info","Get Info","Get Info","Get Info","Get Info",
"mck_action_raid","Pick Lock","Pick Lock","Pick Lock","Schloss knacken","Взлом замка","Włam się","Pick Lock","Pick Lock","Pick Lock","Pick Lock","Pick Lock","Pick Lock","Pick Lock","Pick Lock",
"mck_action_resetkey","Reset key","Reset key","Reset key","Schlüssel zurücksetzen","Сбросить ключ","Resetuj kluczyk","Reset key","Reset key","Reset key","Reset key","Reset key","Reset key","Reset key","Reset key",
"mck_action_lock","Lock","Lock","Lock","Lock","Закрыть","Lock","Lock","Lock","Lock","Lock","Lock","Lock","Lock","Lock",
"mck_name_keypouch","Key Pouch","Key Pouch","Key Pouch","Key Pouch","Сумочка для ключей","Key Pouch","Key Pouch","Key Pouch","Key Pouch","Key Pouch","Key Pouch","Key Pouch","Key Pouch","Key Pouch",
"mck_description_keypouch","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","Сумочка для ключей и брелков. Вы можете использовать ключ прямо из чехла.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.","A pouch to hold a couple keys and tags. You can use the key directly from pouch.",
"mck_action_duplicate_error","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Ключ не присвоен. Назначьте ключ, прежде чем пытаться дублировать.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.","Key not assigned. Assign key before trying to duplicate.",
